y,<rho>,<p>,<T>,<u>,<v>,<w>,<mu>,<rho.T>/<rho>,<rho.u>/<rho>,<rho.v>/<rho>,<rho.w>/<rho>,<T">,<u">,<v">,<w">,<u'u'>,<v'v'>,<w'w'>,<u'v'>,<T'T'>,<v'T'>
-0.1000000000E+01, 0.13549E+01, 0.43012E+00, 0.10000E+01, 0.00000E+00, 0.00000E+00, 0.00000E+00,0.10000E+01,0.10000E+01,0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00
-0.9994772578E+00, 0.13495E+01, 0.43012E+00, 0.10040E+01, 0.63398E-02,-0.93626E-07, 0.14237E-04,0.10028E+01,0.10040E+01,0.63398E-02,-0.11380E-06, 0.14413E-04, 0.26751E-06,0.72501E-07, 0.20169E-07,-0.17634E-06, 0.55722E-05, 0.79456E-09, 0.96598E-06,-0.69862E-08, 0.24092E-05,-0.39763E-08
-0.9982479675E+00, 0.13374E+01, 0.43012E+00, 0.10131E+01, 0.21153E-01,-0.22893E-06, 0.47569E-04,0.10092E+01,0.10131E+01,0.21126E-01,-0.36423E-06, 0.48220E-04, 0.18395E-04,0.27025E-04, 0.13530E-06,-0.65051E-06, 0.61569E-04, 0.84385E-08, 0.10251E-04,-0.13056E-06, 0.25738E-04,-0.76613E-07
-0.9963169100E+00, 0.13193E+01, 0.43012E+00, 0.10270E+01, 0.44163E-01,-0.43810E-06, 0.99511E-04,0.10188E+01,0.10270E+01,0.44027E-01,-0.71744E-06, 0.10103E-03, 0.87922E-04,0.13574E-03, 0.27935E-06,-0.15194E-05, 0.26554E-03, 0.45200E-07, 0.41542E-04,-0.94600E-06, 0.10525E-03,-0.54959E-06
-0.9936855922E+00, 0.12966E+01, 0.43012E+00, 0.10452E+01, 0.75023E-01,-0.13371E-05, 0.16921E-03,0.10314E+01,0.10449E+01,0.74633E-01,-0.11489E-05, 0.17202E-03, 0.24179E-03,0.38955E-03,-0.18822E-06,-0.28143E-05, 0.75621E-03, 0.21567E-06, 0.10907E-03,-0.42810E-05, 0.27873E-03,-0.23992E-05
-0.9903558897E+00, 0.12706E+01, 0.43012E+00, 0.10668E+01, 0.11328E+00,-0.45101E-05, 0.25515E-03,0.10463E+01,0.10663E+01,0.11244E+00,-0.16515E-05, 0.25962E-03, 0.49696E-03,0.83996E-03,-0.28586E-05,-0.44666E-05, 0.16958E-02, 0.88334E-06, 0.22220E-03,-0.14354E-04, 0.57038E-03,-0.76389E-05
-0.9863301501E+00, 0.12427E+01, 0.43011E+00, 0.10911E+01, 0.15833E+00,-0.12496E-04, 0.35460E-03,0.10629E+01,0.10903E+01,0.15682E+00,-0.22235E-05, 0.36095E-03, 0.84500E-03,0.15087E-02,-0.10272E-04,-0.63550E-05, 0.32417E-02, 0.29271E-05, 0.38276E-03,-0.38749E-04, 0.97796E-03,-0.19399E-04
-0.9816112057E+00, 0.12141E+01, 0.43011E+00, 0.11172E+01, 0.20941E+00,-0.28201E-04, 0.46330E-03,0.10805E+01,0.11159E+01,0.20703E+00,-0.28666E-05, 0.47169E-03, 0.12511E-02,0.23748E-02,-0.25334E-04,-0.83877E-05, 0.55016E-02, 0.79478E-05, 0.58570E-03,-0.88240E-04, 0.14673E-02,-0.41343E-04
-0.9762023741E+00, 0.11859E+01, 0.43009E+00, 0.11440E+01, 0.26546E+00,-0.53866E-04, 0.57582E-03,0.10986E+01,0.11424E+01,0.26209E+00,-0.35986E-05, 0.58637E-03, 0.16621E-02,0.33709E-02,-0.50267E-04,-0.10554E-04, 0.84786E-02, 0.18286E-04, 0.82191E-03,-0.17458E-03, 0.19777E-02,-0.76424E-04
-0.9701074573E+00, 0.11591E+01, 0.43007E+00, 0.11708E+01, 0.32519E+00,-0.90028E-04, 0.68658E-03,0.11165E+01,0.11688E+01,0.32079E+00,-0.44442E-05, 0.69935E-03, 0.20204E-02,0.43931E-02,-0.85584E-04,-0.12763E-04, 0.12033E-01, 0.36818E-04, 0.10818E-02,-0.30668E-03, 0.24378E-02,-0.12551E-03
-0.9633307393E+00, 0.11343E+01, 0.43004E+00, 0.11965E+01, 0.38701E+00,-0.13504E-03, 0.79203E-03,0.11336E+01,0.11942E+01,0.38169E+00,-0.54117E-05, 0.80671E-03, 0.22801E-02,0.53248E-02,-0.12962E-03,-0.14673E-04, 0.15890E-01, 0.66613E-04, 0.13575E-02,-0.48685E-03, 0.27861E-02,-0.18665E-03
