eta,f,u,T
0,-1.38691e-22,0,1
0.0200401,8.45892e-05,0.00849764,1.04463
0.0400802,0.000340587,0.0171047,1.0891
0.0601202,0.000770148,0.0258175,1.13335
0.0801603,0.00137536,0.0346326,1.17734
0.1002,0.00215823,0.0435464,1.22103
0.12024,0.00312071,0.0525557,1.26437
0.140281,0.00426467,0.0616571,1.30733
0.160321,0.00559193,0.0708474,1.34986
0.180361,0.00710424,0.0801233,1.39192
0.200401,0.00880329,0.0894817,1.43349
0.220441,0.0106907,0.0989196,1.47451
0.240481,0.012768,0.108434,1.51496
0.260521,0.0150367,0.118021,1.5548
0.280561,0.0174983,0.127678,1.59399
0.300601,0.0201541,0.137403,1.63252
0.320641,0.0230054,0.147191,1.67034
0.340681,0.0260535,0.15704,1.70742
0.360721,0.0292996,0.166946,1.74375
0.380762,0.0327448,0.176908,1.77928
0.400802,0.0363901,0.18692,1.814
0.420842,0.0402365,0.196981,1.84787
0.440882,0.0442851,0.207086,1.88088
0.460922,0.0485366,0.217234,1.913
0.480962,0.0529919,0.22742,1.94421
0.501002,0.0576516,0.237641,1.97449
0.521042,0.0625166,0.247894,2.00382
0.541082,0.0675873,0.258175,2.03218
0.561122,0.0728643,0.268482,2.05955
0.581162,0.0783481,0.27881,2.08592
0.601202,0.084039,0.289157,2.11127
0.621242,0.0899375,0.299518,2.13559
0.641283,0.0960437,0.30989,2.15887
0.661323,0.102358,0.32027,2.1811
0.681363,0.10888,0.330654,2.20227
0.701403,0.115611,0.341039,2.22237
0.721443,0.122549,0.35142,2.2414
0.741483,0.129696,0.361795,2.25934
0.761523,0.13705,0.372159,2.2762
0.781563,0.144612,0.382509,2.29197
0.801603,0.152381,0.392842,2.30666
0.821643,0.160357,0.403152,2.32026
0.841683,0.168539,0.413438,2.33277
0.861723,0.176928,0.423694,2.3442
0.881764,0.185521,0.433918,2.35456
0.901804,0.194319,0.444106,2.36384
0.921844,0.203321,0.454254,2.37206
0.941884,0.212526,0.464358,2.37923
0.961924,0.221932,0.474415,2.38535
0.981964,0.23154,0.484421,2.39044
1.002,0.241348,0.494373,2.39451
1.02204,0.251355,0.504267,2.39757
1.04208,0.261559,0.514099,2.39964
1.06212,0.27196,0.523867,2.40074
1.08216,0.282556,0.533566,2.40087
1.1022,0.293345,0.543194,2.40007
1.12224,0.304327,0.552746,2.39835
1.14228,0.3155,0.562221,2.39573
1.16232,0.326861,0.571615,2.39222
1.18236,0.33841,0.580925,2.38787
1.2024,0.350145,0.590147,2.38268
1.22244,0.362063,0.599279,2.37668
1.24248,0.374164,0.608319,2.36989
1.26253,0.386445,0.617263,2.36235
1.28257,0.398904,0.626109,2.35407
1.30261,0.411539,0.634854,2.34508
1.32265,0.424349,0.643497,2.33541
1.34269,0.437331,0.652034,2.32509
1.36273,0.450483,0.660464,2.31414
1.38277,0.463802,0.668784,2.30259
1.40281,0.477288,0.676993,2.29047
1.42285,0.490936,0.685089,2.27781
1.44289,0.504746,0.69307,2.26463
1.46293,0.518715,0.700934,2.25096
1.48297,0.53284,0.70868,2.23684
1.50301,0.547119,0.716307,2.22228
1.52305,0.561549,0.723814,2.20732
1.54309,0.576129,0.731199,2.19198
1.56313,0.590856,0.738461,2.17629
1.58317,0.605727,0.7456,2.16029
1.60321,0.62074,0.752615,2.14398
1.62325,0.635892,0.759505,2.12741
1.64329,0.651181,0.76627,2.11059
1.66333,0.666604,0.77291,2.09355
1.68337,0.682159,0.779424,2.07632
1.70341,0.697843,0.785811,2.05892
1.72345,0.713655,0.792073,2.04138
1.74349,0.72959,0.798209,2.02371
1.76353,0.745647,0.804219,2.00594
1.78357,0.761823,0.810104,1.98809
1.80361,0.778116,0.815864,1.97018
1.82365,0.794523,0.8215,1.95223
1.84369,0.811042,0.827011,1.93426
1.86373,0.82767,0.8324,1.9163
1.88377,0.844405,0.837666,1.89835
1.90381,0.861244,0.84281,1.88043
1.92385,0.878185,0.847835,1.86257
1.94389,0.895225,0.852739,1.84478
1.96393,0.912362,0.857525,1.82707
1.98397,0.929595,0.862194,1.80945
2.00401,0.946919,0.866747,1.79195
2.02405,0.964334,0.871185,1.77456
2.04409,0.981837,0.875509,1.75732
2.06413,0.999425,0.879722,1.74022
2.08417,1.0171,0.883824,1.72328
2.10421,1.03485,0.887817,1.7065
2.12425,1.05268,0.891703,1.68991
2.14429,1.07059,0.895482,1.6735
2.16433,1.08857,0.899158,1.65728
2.18437,1.10663,0.902731,1.64126
2.20441,1.12475,0.906203,1.62545
2.22445,1.14295,0.909576,1.60986
2.24449,1.16121,0.912851,1.59448
2.26453,1.17953,0.916031,1.57933
2.28457,1.19792,0.919117,1.56441
2.30461,1.21637,0.922111,1.54972
2.32465,1.23488,0.925014,1.53527
2.34469,1.25345,0.92783,1.52106
2.36473,1.27207,0.930558,1.50709
2.38477,1.29074,0.933202,1.49337
2.40481,1.30947,0.935762,1.47989
2.42485,1.32825,0.938241,1.46666
2.44489,1.34708,0.940641,1.45368
2.46493,1.36595,0.942964,1.44095
2.48497,1.38487,0.94521,1.42847
2.50501,1.40384,0.947383,1.41624
2.52505,1.42284,0.949483,1.40426
2.54509,1.44189,0.951513,1.39253
2.56513,1.46098,0.953475,1.38105
2.58517,1.48011,0.955369,1.36981
2.60521,1.49927,0.957198,1.35882
2.62525,1.51847,0.958964,1.34808
2.64529,1.53771,0.960668,1.33757
2.66533,1.55697,0.962311,1.32731
