x,Cf
0.0316,21.0838
0.0789,18.6703
0.1105,17.5319
0.2368,14.6175
0.3474,12.7505
0.4895,11.1566
0.6632,10.0638
0.8526,9.0619
1.0895,8.1512
1.3737,7.3315
1.6737,6.694
2.0211,6.1475
2.3842,5.6922
2.7632,5.3279
3.1105,5.0546
3.4737,4.827
3.6158,4.827
4.0105,4.918
4.3895,4.8725
4.6421,5.6922
4.8,6.7395
4.9263,7.8324
5.0211,8.9253
5.1158,10.0182
5.2105,11.1111
5.2895,12.2495
5.3842,13.3424
5.4947,14.4353
5.7474,15.255
5.9684,16.1202
6.0474,16.9854
6.1421,18.0783
6.3789,18.8069
6.6632,19.0801
6.9158,18.3515
7.1842,17.7596
7.4368,16.8944
7.7368,16.2113
8.0842,15.7104
8.3684,14.9362
8.6684,14.3443
8.9842,13.7978
9.3632,13.9344
