x,St
0.2182,4.5071
0.4714,3.6861
0.7876,3.0015
1.151,2.5443
1.5301,2.2691
1.9092,2.0395
2.3041,1.9009
2.6673,1.7625
3.0621,1.6694
3.4411,1.6675
3.8199,1.8022
4.1987,2.119
4.4982,2.8006
4.7187,3.7557
4.8601,4.8024
4.97,5.8947
5.0482,6.9872
5.1107,8.1253
5.1731,9.2634
5.2356,10.356
5.2823,11.3121
5.3448,12.4502
5.4072,13.5428
5.5329,14.635
5.8013,14.5426
6.0386,13.8128
6.1959,14.8138
6.2913,13.8115
6.3394,12.6728
6.3717,11.5342
6.404,10.3956
6.4521,9.1204
6.516,7.9816
6.5956,6.8883
6.8008,7.0694
6.9264,8.1617
7.0363,9.254
7.099,9.8912
7.288,10.6644
7.5091,10.5722
7.6047,9.2511
7.7159,8.1577
7.9531,7.5645
8.2691,7.2441
8.5215,7.6982
8.7268,7.515
8.9483,6.8764
9.1855,6.2832
9.4541,5.9631
