eta,f,u,T,X_N2,X_O2,X_NO,X_N,X_O,mu,rho,SoS,Rex
0,0,0,2925,0.789919,0.210065,2.91798e-08,1.54269e-09,1.596e-05,8.59825e-05,0.120201,1177.56,96203.8
0.0502513,0.00085799,99.2566,2934.01,0.789919,0.210065,2.91798e-08,1.54269e-09,1.596e-05,8.61535e-05,0.119832,1179.36,96203.8
0.100503,0.00343384,198.581,2937.69,0.789919,0.210065,2.9074e-08,1.529e-09,1.59024e-05,8.62232e-05,0.119682,1180.09,96203.8
0.150754,0.00772802,297.886,2936.03,0.789919,0.210065,2.88622e-08,1.50089e-09,1.57859e-05,8.61917e-05,0.119749,1179.76,96203.8
0.201005,0.0137393,397.065,2929.04,0.789919,0.210065,2.85463e-08,1.45844e-09,1.56113e-05,8.60592e-05,0.120035,1178.36,96203.8
0.251256,0.0214647,495.999,2916.76,0.789919,0.210065,2.81304e-08,1.4025e-09,1.53812e-05,8.5826e-05,0.120541,1175.91,96203.8
0.301508,0.0308987,594.553,2899.23,0.789919,0.210066,2.76205e-08,1.3346e-09,1.51001e-05,8.54928e-05,0.12127,1172.4,96203.8
0.351759,0.0420336,692.577,2876.55,0.789919,0.210066,2.70244e-08,1.25681e-09,1.47739e-05,8.50604e-05,0.122226,1167.85,96203.8
0.40201,0.0548588,789.909,2848.82,0.789919,0.210066,2.63511e-08,1.17155e-09,1.44093e-05,8.45302e-05,0.123415,1162.25,96203.8
0.452261,0.0693609,886.376,2816.2,0.78992,0.210066,2.56107e-08,1.08144e-09,1.40135e-05,8.39039e-05,0.124845,1155.64,96203.8
0.502513,0.0855234,981.796,2778.86,0.78992,0.210067,2.48137e-08,9.89059e-10,1.35939e-05,8.31836e-05,0.126523,1148.03,96203.8
0.552764,0.103327,1075.98,2737,0.78992,0.210067,2.39705e-08,8.96828e-10,1.31572e-05,8.23722e-05,0.128458,1139.44,96203.8
0.603015,0.122748,1168.73,2690.88,0.78992,0.210068,2.30915e-08,8.06867e-10,1.27094e-05,8.14727e-05,0.13066,1129.91,96203.8
0.653266,0.14376,1259.86,2640.76,0.78992,0.210068,2.21864e-08,7.20909e-10,1.22557e-05,8.0489e-05,0.133139,1119.47,96203.8
0.703518,0.166333,1349.18,2586.96,0.78992,0.210068,2.1264e-08,6.40263e-10,1.18004e-05,7.94253e-05,0.135908,1108.15,96203.8
0.753769,0.190435,1436.48,2529.8,0.78992,0.210069,2.03324e-08,5.65813e-10,1.13468e-05,7.82864e-05,0.138979,1096.01,96203.8
0.80402,0.216029,1521.59,2469.65,0.78992,0.210069,1.93986e-08,4.98045e-10,1.08975e-05,7.70776e-05,0.142364,1083.11,96203.8
0.854271,0.243076,1604.34,2406.87,0.78992,0.210069,1.8469e-08,4.37104e-10,1.04542e-05,7.58046e-05,0.146077,1069.48,96203.8
0.904523,0.271532,1684.57,2341.86,0.78992,0.21007,1.75487e-08,3.82863e-10,1.00185e-05,7.44734e-05,0.150133,1055.2,96203.8
0.954774,0.301354,1762.13,2275,0.78992,0.21007,1.66422e-08,3.3499e-10,9.59137e-06,7.30905e-05,0.154545,1040.34,96203.8
1.00503,0.332494,1836.9,2206.72,0.78992,0.21007,1.57534e-08,2.93023e-10,9.1736e-06,7.16625e-05,0.159327,1024.95,96203.8
1.05528,0.364903,1908.76,2137.39,0.78992,0.210071,1.48854e-08,2.56421e-10,8.7658e-06,7.01963e-05,0.164495,1009.11,96203.8
1.10553,0.398529,1977.62,2067.41,0.789921,0.210071,1.40408e-08,2.24619e-10,8.36847e-06,6.86988e-05,0.170063,992.891,96203.8
1.15578,0.433319,2043.42,1997.16,0.789921,0.210071,1.32218e-08,1.97056e-10,7.98202e-06,6.71769e-05,0.176045,976.367,96203.8
