y,y+,y*,rhob,rhow,ub,ut,Tb,Tw,ew,hw,cw,sm,Gm,mum,lam,cpm,cvm,Prm,Eckm,Tmfw,umfb,umft,Tffw,uffb,ufft,upupb,upupt,vpvpb,vpvpt,wpwpb,wpwpt,upvpb,upvpt,TpTpw,vpTpb,vpTpt,ufufb,ufuft,ufuftauw,vfvfb,vfvft,vfvftauw,wfwfb,wfwft,wfwftauw,ufvfb,ufvft,ufvftauw,TfTfw,vfTfb,vfTfw,<ufufb>,<ufuft>,<vfvfb>,<vfvft>,<wfwfb>,<wfwft>,<ufvfb>,<ufvft>,<TfTfw>,<vfTfb>,<vfTft>,Shear1,Shear2,M1,M2,Re,rhormsj,rhormsw,Mrms,Trmsj,Trmsw,prmsj,crmsj,Grms,T0rmsj,srms,cprms,cvrms,murmsj,larmsj,Prrms,Eckrms,Mt,urmsb,urms+,urms*,vrmsb,vrms+,vrms*,wrmsb,wrms+,wrms*,vrt+,vrt*,vrtx+,vrtx*,vrty+,vrty*,vrtz+,vrtz*,divrms+,divrms*,ducrrms,-rhoupvp,-rhovpTp,-upvp_duy,T0,ducros,qtot,retaus,ropup,ropvp,ropwp"
0.000000000E+00,0.000000000E+00,0.000000000E+00,2.491690397E+00,1.000000000E+00,0.000000000E+00,0.000000000E+00,1.000000000E+00,1.000000000E+00,1.000000000E+00,1.000000000E+00,1.000000000E+00,2.068961334E+02,1.200000048E+00,1.000000000E+00,1.000000000E+00,3.500000000E+00,2.500000000E+00,6.999999881E-01,0.000000000E+00,1.000000000E+00,0.000000000E+00,0.000000000E+00,-1.885561070E-13,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,8.056189315E-14,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,3.277310763E-16,0.000000000E+00,0.000000000E+00,1.000000000E+00,1.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,3.313668072E-02,3.313668072E-02,0.000000000E+00,0.000000000E+00,0.000000000E+00,3.313679248E-02,3.088134463E-06,2.756875801E-06,0.000000000E+00,2.747829676E+00,9.876584045E-06,5.543031421E-06,2.191514568E-06,1.274279839E-06,2.009986474E-06,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,3.994205594E-01,1.356799752E-01,0.000000000E+00,3.756691515E-01,1.000000000E+00,1.115705003E-03,-2.231410006E-03,1.115705003E-03,1.251039468E-02,1.251039468E-02,0.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00,1.000000000E+00,0.000000000E+00,2.873900032E+01,6.264213257E+02,0.000000000E+00,0.000000000E+00,0.000000000E+00
1.230769209E-03,7.709800601E-01,7.112438083E-01,2.330562115E+00,9.353337884E-01,2.681238949E-02,7.650011182E-01,1.069349766E+00,1.069888830E+00,1.069875360E+00,1.069875360E+00,1.034271836E+00,2.274249725E+02,1.200000048E+00,1.048354030E+00,1.048354030E+00,3.500000000E+00,2.500000000E+00,6.999999881E-01,2.887037583E-03,1.069349766E+00,2.661724389E-02,7.594332695E-01,5.391548621E-04,1.951459853E-04,5.567832384E-03,1.006319071E-04,8.191978186E-02,8.765304216E-08,7.135429041E-05,1.226746008E-05,9.986371733E-03,5.388250290E-09,4.386325145E-06,7.364891935E-04,8.292060016E-08,2.365859700E-06,9.252663585E-05,7.532165200E-02,7.532165200E-02,8.313165267E-08,6.767363084E-05,6.767363084E-05,1.124533992E-05,9.154311381E-03,9.154311381E-03,4.936171472E-09,4.018309028E-06,4.018309028E-06,6.776124937E-04,7.040612360E-08,2.008801175E-06,1.006699895E-04,8.195078373E-02,8.765388060E-08,7.135496708E-05,1.226746008E-05,9.986372665E-03,5.566754613E-09,4.531637842E-06,7.367798826E-04,8.341378077E-08,2.379930947E-06,9.987692237E-01,1.033642054E+00,7.999356091E-02,7.969351858E-02,4.275503235E+02,3.834022209E-02,3.586091101E-02,2.861158550E-02,2.536556311E-02,2.713833377E-02,3.314466029E-02,1.262656413E-02,2.756875801E-06,2.642342076E-02,8.192249298E+00,9.876584045E-06,5.543031421E-06,1.770843565E-02,1.770843565E-02,2.009986474E-06,2.146083862E-03,3.159374744E-02,1.003153808E-02,2.862161100E-01,2.768072188E-01,2.960558922E-04,8.446956985E-03,8.169278502E-03,3.502426669E-03,9.992993623E-02,9.664491564E-02,4.023985565E-01,1.293235123E-01,8.438246325E-03,3.809573054E-01,1.033644915E+00,-2.547499491E-03,5.055166781E-03,-2.507667523E-03,1.148580108E-02,1.204118133E-02,0.000000000E+00,4.018712389E-06,-1.508132996E-08,2.651175464E-06,1.071461201E+00,0.000000000E+00,2.848461151E+01,5.778856201E+02,-8.003519058E+00,-3.751560673E-02,1.735707186E-02
2.471205778E-03,1.548015952E+00,1.330270529E+00,2.197808266E+00,8.820551038E-01,5.296256393E-02,1.511108160E+00,1.133668184E+00,1.135662436E+00,1.135648131E+00,1.135648131E+00,1.065408826E+00,2.473429260E+02,1.200000048E+00,1.092907310E+00,1.092907310E+00,3.500000000E+00,2.500000000E+00,6.999999881E-01,1.044297405E-02,1.133668184E+00,5.221206322E-02,1.489695191E+00,1.994227758E-03,7.504991372E-04,2.141296118E-02,3.833840892E-04,3.120952547E-01,3.055025388E-07,2.486954909E-04,4.445774175E-05,3.619099036E-02,1.392455999E-07,1.133534024E-04,2.609323710E-03,6.758332916E-07,1.928262282E-05,3.281079989E-04,2.670975626E-01,2.670975626E-01,2.753345996E-07,2.241371694E-04,2.241371694E-04,3.797054887E-05,3.091006726E-02,3.091006726E-02,1.181628377E-07,9.619090270E-05,9.619090270E-05,2.237970708E-03,5.651075980E-07,1.612343840E-05,3.839473356E-04,3.125537634E-01,3.055094737E-07,2.487011370E-04,4.445774175E-05,3.619099408E-02,1.412193313E-07,1.149601303E-04,2.613300690E-03,6.810779496E-07,1.943226198E-05,9.975287914E-01,1.037505269E+00,1.528310329E-01,1.528181434E-01,7.639667358E+02,5.099169165E-02,4.497748986E-02,5.244148150E-02,4.497950897E-02,5.108153820E-02,3.303925321E-02,2.233806252E-02,2.756875801E-06,4.867693409E-02,1.551734066E+01,9.876584045E-06,5.543031421E-06,3.135717288E-02,3.135717288E-02,2.009986474E-06,7.384506986E-03,5.970379338E-02,1.958018169E-02,5.586544275E-01,5.246759653E-01,5.527109606E-04,1.576974429E-02,1.481060125E-02,6.667540409E-03,1.902357787E-01,1.786653101E-01,3.878921866E-01,1.200786084E-01,1.721043140E-02,3.684358597E-01,1.037601471E+00,-2.169221698E-04,2.911248012E-04,-7.420263137E-05,1.022731978E-02,1.117750537E-02,0.000000000E+00,-9.760812100E-05,-1.212453071E-07,1.803739724E-05,1.141773343E+00,0.000000000E+00,2.772490501E+01,5.383082886E+02,-3.169618416E+01,-1.110685021E-01,6.170487031E-02
3.721385496E-03,2.331155062E+00,1.882073641E+00,2.088043690E+00,8.380028605E-01,7.812895626E-02,2.229146242E+00,1.193357110E+00,1.197212219E+00,1.197197080E+00,1.197197080E+00,1.093685627E+00,2.664100952E+02,1.200000048E+00,1.133854508E+00,1.133854508E+00,3.500000000E+00,2.500000000E+00,6.999999881E-01,2.128315531E-02,1.193357110E+00,7.663389295E-02,2.186489582E+00,3.855205141E-03,1.495062606E-03,4.265657067E-02,8.088565082E-04,6.584526896E-01,6.359366012E-07,5.176865961E-04,9.001624858E-05,7.327806205E-02,2.894751560E-06,2.356483368E-03,5.179557018E-03,6.198811661E-06,1.768621732E-04,6.525001372E-04,5.311701894E-01,5.311701894E-01,5.437790946E-07,4.426653904E-04,4.426653904E-04,7.242587162E-05,5.895855278E-02,5.895855278E-02,2.246552867E-06,1.828814740E-03,1.828814740E-03,4.194578156E-03,4.815959073E-06,1.374071435E-04,8.110917406E-04,6.602722406E-01,6.359369422E-07,5.176868872E-04,9.001625585E-05,7.327806950E-02,-2.895598072E-06,-2.357172547E-03,5.194419529E-03,-6.200993994E-06,-1.769244554E-04,9.962786436E-01,1.034142852E+00,2.190424204E-01,2.196047455E-01,1.032032227E+03,6.287647039E-02,5.269066244E-02,7.230696082E-02,6.011393294E-02,7.196913660E-02,3.297864273E-02,2.982437424E-02,2.756875801E-06,6.735724956E-02,2.231926155E+01,9.876584045E-06,5.543031421E-06,4.188227281E-02,4.188227281E-02,2.009986474E-06,1.437944360E-02,8.430083096E-02,2.844038233E-02,8.114504218E-01,7.428220510E-01,7.974373293E-04,2.275218442E-02,2.082793042E-02,9.487519041E-03,2.706943452E-01,2.478004992E-01,3.719664216E-01,1.109868959E-01,2.600394003E-02,3.540684283E-01,1.032314062E+00,2.905906586E-04,-8.678361773E-04,5.772455479E-04,9.503657930E-03,1.077575609E-02,0.000000000E+00,1.829392277E-03,1.025275992E-06,8.633603284E-05,1.210449576E+00,0.000000000E+00,2.682246399E+01,5.057454224E+02,-6.478005219E+01,2.453486621E-02,1.205445677E-01
4.981385078E-03,3.120445728E+00,2.382553577E+00,1.994500279E+00,8.004607558E-01,1.024697274E-01,2.923628092E+00,1.249213696E+00,1.255109191E+00,1.255093336E+00,1.255093336E+00,1.119602442E+00,2.847474060E+02,1.200000048E+00,1.171774387E+00,1.171774387E+00,3.500000000E+00,2.500000000E+00,6.999999881E-01,3.458021581E-02,1.249213696E+00,1.001179144E-01,2.856527090E+00,5.895535462E-03,2.351810457E-03,6.710097939E-02,1.352674677E-03,1.101149917E+00,1.084904852E-06,8.831708692E-04,1.446656242E-04,1.177655980E-01,6.381315416E-06,5.194733851E-03,8.171080612E-03,1.321598211E-05,3.770734766E-04,1.036889153E-03,8.440835476E-01,8.440835476E-01,8.816512036E-07,7.177114603E-04,7.177114603E-04,1.104770854E-04,8.993428946E-02,8.993428946E-02,4.646624348E-06,3.782602260E-03,3.782602260E-03,6.299679633E-03,9.608215805E-06,2.741380304E-04,1.358205685E-03,1.105652452E+00,1.084916789E-06,8.831805899E-04,1.446656388E-04,1.177656129E-01,-6.389425380E-06,-5.201335996E-03,8.205838501E-03,-1.323631022E-05,-3.776534868E-04,9.950186014E-01,1.031909823E+00,2.800805271E-01,2.813545763E-01,1.251078979E+03,7.314828038E-02,5.855232105E-02,8.947305381E-02,7.202084363E-02,9.039402753E-02,3.287206218E-02,3.572287038E-02,2.756875801E-06,8.335500211E-02,2.861715889E+01,9.876584045E-06,5.543031421E-06,5.016997084E-02,5.016997084E-02,2.009986474E-06,2.250038646E-02,1.062858477E-01,3.677869961E-02,1.049356222E+00,9.388430715E-01,1.041560317E-03,2.971740998E-02,2.658773400E-02,1.202749368E-02,3.431639671E-01,3.070237637E-01,3.604266942E-01,1.037333682E-01,3.482647613E-02,3.434146941E-01,1.028127193E+00,-8.075846563E-05,-2.954401716E-04,3.761986445E-04,8.874434978E-03,1.039882377E-02,0.000000000E+00,3.787886817E-03,2.048192528E-06,1.333362452E-04,1.277786970E+00,0.000000000E+00,2.598888206E+01,4.782914124E+02,-1.042646179E+02,1.528812051E-01,1.879229099E-01
6.251281127E-03,3.915935755E+00,2.843099833E+00,1.913908482E+00,7.681164742E-01,1.260898709E-01,3.597549438E+00,1.301895618E+00,1.309852362E+00,1.309835792E+00,1.309835792E+00,1.143553019E+00,3.023936157E+02,1.200000048E+00,1.207138300E+00,1.207138300E+00,3.500000000E+00,2.500000000E+00,6.999999881E-01,4.978065938E-02,1.301895618E+00,1.228312552E-01,3.504575491E+00,7.956678048E-03,3.258621553E-03,9.297377616E-02,1.993558370E-03,1.622863770E+00,1.747705369E-06,1.422726200E-03,2.056897938E-04,1.674425453E-01,1.417666226E-05,1.154056564E-02,1.139972731E-02,2.919251165E-05,8.329098928E-04,1.462252112E-03,1.190351844E+00,1.190351844E+00,1.346502359E-06,1.096125226E-03,1.096125226E-03,1.500200451E-04,1.221243814E-01,1.221243814E-01,9.841806786E-06,8.011760190E-03,8.011760190E-03,8.424694650E-03,2.024026435E-05,5.774876918E-04,2.004177077E-03,1.631507874E+00,1.747844180E-06,1.422839123E-03,2.056898229E-04,1.674425751E-01,-1.421503293E-05,-1.157180034E-02,1.146303676E-02,-2.928619870E-05,-8.355829050E-04,9.937487245E-01,1.031787395E+00,3.369197249E-01,3.389581740E-01,1.433980835E+03,8.166576922E-02,6.272882223E-02,1.045788601E-01,8.151262254E-02,1.067695022E-01,3.279076517E-02,4.044080526E-02,2.756875801E-06,9.723579884E-02,3.440839005E+01,9.876584045E-06,5.543031421E-06,5.678995699E-02,5.678995699E-02,2.009986474E-06,3.133832291E-02,1.261174232E-01,4.464925453E-02,1.273915887E+00,1.116488814E+00,1.321968390E-03,3.771791235E-02,3.305686265E-02,1.434164867E-02,4.091905653E-01,3.586241007E-01,3.518709838E-01,9.776866436E-02,4.361927509E-02,3.351888359E-01,1.023775578E+00,1.243309962E-04,-8.921085391E-04,7.677775575E-04,8.485211059E-03,1.024281047E-02,0.000000000E+00,8.035751991E-03,4.322655514E-06,2.059913240E-04,1.344061732E+00,0.000000000E+00,2.517786789E+01,4.548027344E+02,-1.474772491E+02,5.329121351E-01,2.586854100E-01
7.531152107E-03,4.717674255E+00,3.271581888E+00,1.843173265E+00,7.397280335E-01,1.490896940E-01,4.253771782E+00,1.351745486E+00,1.361729503E+00,1.361712337E+00,1.361712337E+00,1.165790915E+00,3.194152832E+02,1.200000048E+00,1.240241408E+00,1.240241408E+00,3.500000000E+00,2.500000000E+00,6.999999881E-01,6.653102487E-02,1.351745486E+00,1.448924690E-01,4.134017944E+00,9.984017350E-03,4.197223112E-03,1.197536066E-01,2.720774617E-03,2.214856863E+00,2.624334002E-06,2.136348980E-03,2.711055859E-04,2.206945270E-01,2.314155245E-05,1.883846708E-02,1.473361906E-02,4.635998994E-05,1.322725904E-03,1.918838476E-03,1.562037706E+00,1.562037706E+00,1.927533503E-06,1.569115906E-03,1.569115906E-03,1.897196489E-04,1.544419974E-01,1.544419974E-01,1.539035111E-05,1.252857316E-02,1.252857316E-02,1.048817486E-02,3.078762165E-05,8.784210077E-04,2.738391282E-03,2.229197741E+00,2.624748504E-06,2.136686351E-03,2.711056441E-04,2.206945568E-01,-2.322698310E-05,-1.890801452E-02,1.483330037E-02,-4.656320380E-05,-1.328523969E-03,9.924688339E-01,1.029858589E+00,3.903245032E-01,3.931417465E-01,1.589302490E+03,8.889079839E-02,6.575500965E-02,1.182130948E-01,8.913818747E-02,1.213821098E-01,3.267712519E-02,4.424849898E-02,2.756875801E-06,1.094337478E-01,3.976742935E+01,9.876584045E-06,5.543031421E-06,6.212301552E-02,6.212301552E-02,2.009986474E-06,4.072519764E-02,1.442991048E-01,5.216101557E-02,1.488238692E+00,1.279996276E+00,1.619925140E-03,4.621909931E-02,3.975191340E-02,1.646501757E-02,4.697737396E-01,4.040407240E-01,3.444173038E-01,9.281170368E-02,5.239501968E-02,3.275113702E-01,1.017329931E+00,1.707075571E-04,-1.179559156E-03,1.008851686E-03,8.149117231E-03,1.010685880E-02,0.000000000E+00,1.258001849E-02,6.583920367E-06,2.724919177E-04,1.409400940E+00,0.000000000E+00,2.436319542E+01,4.344065552E+02,-1.935667114E+02,9.387122989E-01,3.309722245E-01
8.821075782E-03,5.525710106E+00,3.674484015E+00,1.780865550E+00,7.147218585E-01,1.714695543E-01,4.892305374E+00,1.399100900E+00,1.411000252E+00,1.410982370E+00,1.410982370E+00,1.186527252E+00,3.358076172E+02,1.200000048E+00,1.271335840E+00,1.271335840E+00,3.500000000E+00,2.500000000E+00,6.999999881E-01,8.449233323E-02,1.399100900E+00,1.663416624E-01,4.745998383E+00,1.189929713E-02,5.127890967E-03,1.463070810E-01,3.513497533E-03,2.860175848E+00,3.876330538E-06,3.155541373E-03,3.394483938E-04,2.763292491E-01,3.752369958E-05,3.054630756E-02,1.806887798E-02,7.392906991E-05,2.109316643E-03,2.393786330E-03,1.948670745E+00,1.948670745E+00,2.718176802E-06,2.212742111E-03,2.212742111E-03,2.288819232E-04,1.863221973E-01,1.863221973E-01,2.410489469E-05,1.962267980E-02,1.962267980E-02,1.244554017E-02,4.747433195E-05,1.354519860E-03,3.539792728E-03,2.881581545E+00,3.877537438E-06,3.156523919E-03,3.394484520E-04,2.763293087E-01,-3.770181866E-05,-3.069130704E-02,1.821047068E-02,-7.434238796E-05,-2.121109283E-03,9.911789298E-01,1.029179811E+00,4.406782985E-01,4.442541897E-01,1.722887329E+03,9.484023601E-02,6.778437644E-02,1.305122674E-01,9.526610374E-02,1.344204992E-01,3.258733824E-02,4.732734337E-02,2.756875801E-06,1.201650575E-01,4.467398834E+01,9.876584045E-06,5.543031421E-06,6.642471254E-02,6.642471254E-02,2.009986474E-06,5.040381104E-02,1.609010994E-01,5.927473307E-02,1.691204667E+00,1.429765344E+00,1.968766795E-03,5.617212132E-02,4.748866707E-02,1.842383668E-02,5.256620049E-01,4.444015026E-01,3.382140696E-01,8.889555186E-02,6.104943901E-02,3.205603063E-01,1.009557128E+00,3.488744842E-04,-1.732488512E-03,1.383614028E-03,7.881738245E-03,1.002032124E-02,0.000000000E+00,1.972631551E-02,1.016590340E-05,3.587899264E-04,1.473860860E+00,0.000000000E+00,2.355708694E+01,4.165573425E+02,-2.405885315E+02,1.629729271E+00,4.011875987E-01
1.012113132E-02,6.340092659E+00,4.056147575E+00,1.725166559E+00,6.923679709E-01,1.933184564E-01,5.515690327E+00,1.444166780E+00,1.457869768E+00,1.457851410E+00,1.457851410E+00,1.205927014E+00,3.516310730E+02,1.200000048E+00,1.300619960E+00,1.300619960E+00,3.500000000E+00,2.500000000E+00,6.999999881E-01,1.034997180E-01,1.444166780E+00,1.872659624E-01,5.343002796E+00,1.370306686E-02,6.052491721E-03,1.726874262E-01,4.366625566E-03,3.554667950E+00,5.446146588E-06,4.433456343E-03,4.098209320E-04,3.336162865E-01,5.328090629E-05,4.337352142E-02,2.133741789E-02,1.026274695E-04,2.928128699E-03,2.883672481E-03,2.347464561E+00,2.347464561E+00,3.669586249E-06,2.987240674E-03,2.987240674E-03,2.671157999E-04,2.174466103E-01,2.174466103E-01,3.317289156E-05,2.700451761E-02,2.700451761E-02,1.426763926E-02,6.392387877E-05,1.823852188E-03,4.403258208E-03,3.584488869E+00,5.448571301E-06,4.435429815E-03,4.098210193E-04,3.336163461E-01,-5.357885675E-05,-4.361607134E-02,2.152519301E-02,-1.033020308E-04,-2.947374946E-03,9.898788929E-01,1.027566433E+00,4.884979725E-01,4.928043485E-01,1.839301758E+03,9.989644587E-02,6.916508079E-02,1.418414265E-01,1.001963764E-01,1.460732967E-01,3.247477859E-02,4.982277006E-02,2.756875801E-06,1.297013462E-01,4.919745255E+01,9.876584045E-06,5.543031421E-06,6.990116835E-02,6.990116835E-02,2.009986474E-06,6.034553424E-02,1.762791127E-01,6.608042121E-02,1.885381937E+00,1.568801165E+00,2.333604498E-03,6.658153236E-02,5.540168285E-02,2.024372667E-02,5.775864720E-01,4.806023836E-01,3.333924413E-01,8.598088473E-02,6.960465759E-02,3.145036101E-01,1.000561953E+00,3.565731749E-04,-1.941758208E-03,1.585185062E-03,7.589577232E-03,9.871139191E-03,0.000000000E+00,2.717245184E-02,1.370306563E-05,4.416422453E-04,1.537543058E+00,0.000000000E+00,2.275869751E+01,4.007602539E+02,-2.885163269E+02,2.346678734E+00,4.691401422E-01
1.143139880E-02,7.160871983E+00,4.420656681E+00,1.675336123E+00,6.723693013E-01,2.146177590E-01,6.123394012E+00,1.487161756E+00,1.502513885E+00,1.502494931E+00,1.502494931E+00,1.224127173E+00,3.668748779E+02,1.200000048E+00,1.328260064E+00,1.328260064E+00,3.500000000E+00,2.500000000E+00,6.999999881E-01,1.233195439E-01,1.487161756E+00,2.076749951E-01,5.925305843E+00,1.535222400E-02,6.942761596E-03,1.980882883E-01,5.261166021E-03,4.282871723E+00,7.538970294E-06,6.137127057E-03,4.814329441E-04,3.919122815E-01,7.478018961E-05,6.087509543E-02,2.448267676E-02,1.414904546E-04,4.036952741E-03,3.379188478E-03,2.750841141E+00,2.750841141E+00,4.894420726E-06,3.984321374E-03,3.984321374E-03,3.042553435E-04,2.476802021E-01,2.476802021E-01,4.534346954E-05,3.691202030E-02,3.691202030E-02,1.594353467E-02,8.593360690E-05,2.451825654E-03,5.309368018E-03,4.322111130E+00,7.543726042E-06,6.140998565E-03,4.814330605E-04,3.919124007E-01,-7.525890396E-05,-6.126479432E-02,2.471836843E-02,-1.425489754E-04,-4.067154136E-03,9.885686040E-01,1.026862264E+00,5.339738727E-01,5.389659405E-01,1.941706177E+03,1.040495411E-01,6.995969266E-02,1.522193104E-01,1.041383594E-01,1.564693600E-01,3.238363937E-02,5.183646455E-02,2.756875801E-06,1.381520927E-01,5.332167435E+01,9.876584045E-06,5.543031421E-06,7.269636542E-02,7.269636542E-02,2.009986474E-06,7.036677003E-02,1.904296726E-01,7.253387570E-02,2.069509506E+00,1.696959257E+00,2.745601814E-03,7.833648473E-02,6.423456967E-02,2.194125764E-02,6.260198355E-01,5.133250356E-01,3.293872476E-01,8.395712078E-02,7.797241956E-02,3.088153005E-01,9.899502397E-01,5.237156292E-04,-2.463506535E-03,1.939790789E-03,7.346549071E-03,9.758110158E-03,0.000000000E+00,3.717404231E-02,1.843903738E-05,5.403190153E-04,1.600439429E+00,0.000000000E+00,2.196490288E+01,3.867117920E+02,-3.358404846E+02,3.335398197E+00,5.321430564E-01
