              y              T            rho          X_CH4           X_O2           X_N2           X_CH           X_CO          X_CO2          X_H2O           X_H2
  0.0000000e+00  3.5000000e+02  9.5397800e-01  9.0080342e-02  1.8442423e-01  7.0755621e-01  6.6111466e-18  1.4602472e-03  3.7253127e-04  8.5589633e-03  7.4068352e-03
  1.5625000e-05  3.6488460e+02  9.1435719e-01  8.9172195e-02  1.8333865e-01  7.0684122e-01  1.5164176e-19  1.7991673e-03  4.8443291e-04  1.0313936e-02  7.8689127e-03
  3.1250000e-05  3.8232881e+02  8.7191320e-01  8.8125434e-02  1.8206433e-01  7.0607068e-01  4.8500165e-19  2.2022143e-03  6.2443502e-04  1.2337025e-02  8.3436824e-03
  4.6875000e-05  4.0256568e+02  8.2734527e-01  8.6929420e-02  1.8058156e-01  7.0524867e-01  2.1674646e-18  2.6768107e-03  7.9746047e-04  1.4642705e-02  8.8289932e-03
  6.2500000e-05  4.2579693e+02  7.8146566e-01  8.5574880e-02  1.7887182e-01  7.0438132e-01  1.1657299e-17  3.2301356e-03  1.0086757e-03  1.7240916e-02  9.3226352e-03
  7.0312500e-05  4.3862541e+02  7.5823005e-01  8.4822706e-02  1.7790926e-01  7.0392586e-01  3.0350414e-17  3.5441362e-03  1.1327371e-03  1.8676077e-02  9.5757743e-03
  7.8125000e-05  4.5229758e+02  7.3493165e-01  8.4024262e-02  1.7687774e-01  7.0346123e-01  7.8598186e-17  3.8824191e-03  1.2695800e-03  2.0192847e-02  9.8304322e-03
  8.5937500e-05  4.6682760e+02  7.1168125e-01  8.3178629e-02  1.7577505e-01  7.0298874e-01  2.0346828e-16  4.2459145e-03  1.4200255e-03  2.1791380e-02  1.0086332e-02
  9.3750000e-05  4.8222632e+02  6.8858366e-01  8.2284999e-02  1.7459911e-01  7.0250978e-01  5.2363421e-16  4.6355093e-03  1.5848950e-03  2.3471535e-02  1.0343208e-02
  1.0156250e-04  4.9850126e+02  6.6573601e-01  8.1342677e-02  1.7334807e-01  7.0202580e-01  1.3310497e-15  5.0520443e-03  1.7650072e-03  2.5232904e-02  1.0600810e-02
  1.0937500e-04  5.1565668e+02  6.4322637e-01  8.0351076e-02  1.7202023e-01  7.0153824e-01  3.3219470e-15  5.4963123e-03  1.9611750e-03  2.7074837e-02  1.0858906e-02
  1.1718750e-04  5.3369368e+02  6.2113280e-01  7.9309707e-02  1.7061408e-01  7.0104859e-01  8.0978959e-15  5.9690581e-03  2.1742041e-03  2.8996466e-02  1.1117278e-02
  1.2500000e-04  5.5261038e+02  5.9952292e-01  7.8218179e-02  1.6912832e-01  7.0055829e-01  1.9198346e-14  6.4709771e-03  2.4048906e-03  3.0996735e-02  1.1375728e-02
  1.3281250e-04  5.7240206e+02  5.7845369e-01  7.7076191e-02  1.6756183e-01  7.0006877e-01  4.4115771e-14  7.0027159e-03  2.6540197e-03  3.3074422e-02  1.1634078e-02
  1.4062500e-04  5.9306132e+02  5.5797172e-01  7.5883529e-02  1.6591365e-01  6.9958143e-01  9.8013094e-14  7.5648712e-03  2.9223646e-03  3.5228158e-02  1.1892164e-02
  1.4843750e-04  6.1457828e+02  5.3811367e-01  7.4640058e-02  1.6418303e-01  6.9909761e-01  2.1020137e-13  8.1579905e-03  3.2106856e-03  3.7456449e-02  1.2149843e-02
  1.5625000e-04  6.3694071e+02  5.1890693e-01  7.3345717e-02  1.6236937e-01  6.9861857e-01  4.3481125e-13  8.7825711e-03  3.5197293e-03  3.9757693e-02  1.2406987e-02
  1.6406250e-04  6.6013428e+02  5.0037041e-01  7.2000513e-02  1.6047222e-01  6.9814555e-01  8.6747166e-13  9.4390597e-03  3.8502287e-03  4.2130190e-02  1.2663480e-02
  1.7187500e-04  6.8414268e+02  4.8251541e-01  7.0604514e-02  1.5849126e-01  6.9767968e-01  1.6702365e-12  1.0127852e-02  4.2029030e-03  4.4572161e-02  1.2919222e-02
  1.7968750e-04  7.0894781e+02  4.6534652e-01  6.9157842e-02  1.5642627e-01  6.9722203e-01  3.1077509e-12  1.0849288e-02  4.5784576e-03  4.7081757e-02  1.3174117e-02
  1.8750000e-04  7.3452994e+02  4.4886252e-01  6.7660667e-02  1.5427718e-01  6.9677360e-01  5.5994391e-12  1.1603655e-02  4.9775847e-03  4.9657069e-02  1.3428078e-02
  1.9531250e-04  7.6086780e+02  4.3305726e-01  6.6113203e-02  1.5204395e-01  6.9633532e-01  9.7966523e-12  1.2391178e-02  5.4009638e-03  5.2296138e-02  1.3681017e-02
  2.0312500e-04  7.8793870e+02  4.1792051e-01  6.4515708e-02  1.4972665e-01  6.9590802e-01  1.6702167e-11  1.3212016e-02  5.8492622e-03  5.4996962e-02  1.3932841e-02
  2.1093750e-04  8.1571851e+02  4.0343873e-01  6.2868493e-02  1.4732542e-01  6.9549248e-01  2.7864484e-11  1.4066254e-02  6.3231349e-03  5.7757495e-02  1.4183446e-02
  2.1875000e-04  8.4418149e+02  3.8959588e-01  6.1171928e-02  1.4484048e-01  6.9508940e-01  4.5703715e-11  1.4953892e-02  6.8232249e-03  6.0575641e-02  1.4432711e-02
  2.2656250e-04  8.7330013e+02  3.7637409e-01  5.9426473e-02  1.4227217e-01  6.9469939e-01  7.4063068e-11  1.5874833e-02  7.3501616e-03  6.3449245e-02  1.4680490e-02
  2.3437500e-04  9.0304473e+02  3.6375423e-01  5.7632706e-02  1.3962095e-01  6.9432302e-01  1.1913681e-10  1.6828858e-02  7.9045591e-03  6.6376069e-02  1.4926599e-02
  2.4218750e-04  9.3338288e+02  3.5171655e-01  5.5791372e-02  1.3688746e-01  6.9396076e-01  1.9101396e-10  1.7815613e-02  8.4870128e-03  6.9353758e-02  1.5170813e-02
  2.5000000e-04  9.6427897e+02  3.4024105e-01  5.3903436e-02  1.3407257e-01  6.9361300e-01  3.0621640e-10  1.8834572e-02  9.0980948e-03  7.2379797e-02  1.5412849e-02
  2.5781250e-04  9.9569344e+02  3.2930793e-01  5.1970158e-02  1.3117746e-01  6.9328010e-01  4.9182637e-10  1.9885012e-02  9.7383475e-03  7.5451459e-02  1.5652356e-02
  2.6562500e-04  1.0275821e+03  3.1889780e-01  4.9993163e-02  1.2820368e-01  6.9296235e-01  7.9212448e-10  2.0965969e-02  1.0408276e-02  7.8565744e-02  1.5888900e-02
  2.7343750e-04  1.0598948e+03  3.0899222e-01  4.7974538e-02  1.2515322e-01  6.9265999e-01  1.2791294e-09  2.2076199e-02  1.1108337e-02  8.1719305e-02  1.6121952e-02
  2.8125000e-04  1.0925753e+03  2.9957346e-01  4.5916914e-02  1.2202861e-01  6.9237322e-01  2.0691626e-09  2.3214121e-02  1.1838929e-02  8.4908373e-02  1.6350866e-02
  2.8906250e-04  1.1255614e+03  2.9062457e-01  4.3823573e-02  1.1883302e-01  6.9210224e-01  3.3478299e-09  2.4377766e-02  1.2600377e-02  8.8128677e-02  1.6574866e-02
  2.9687500e-04  1.1587845e+03  2.8212942e-01  4.1698541e-02  1.1557034e-01  6.9184725e-01  5.4078432e-09  2.5564708e-02  1.3392914e-02  9.1375359e-02  1.6793026e-02
  3.0468750e-04  1.1921687e+03  2.7407276e-01  3.9546677e-02  1.1224527e-01  6.9160847e-01  8.7033069e-09  2.6772001e-02  1.4216666e-02  9.4642891e-02  1.7004252e-02
  3.1250000e-04  1.2256314e+03  2.6644020e-01  3.7373756e-02  1.0886341e-01  6.9138614e-01  1.3925679e-08  2.7996107e-02  1.5071629e-02  9.7925012e-02  1.7207268e-02
  3.2031250e-04  1.2590831e+03  2.5921814e-01  3.5186530e-02  1.0543138e-01  6.9118059e-01  2.2105147e-08  2.9232824e-02  1.5957651e-02  1.0121466e-01  1.7400599e-02
  3.2812500e-04  1.2924273e+03  2.5239375e-01  3.2992763e-02  1.0195682e-01  6.9099218e-01  3.4738582e-08  3.0477228e-02  1.6874411e-02  1.0450392e-01  1.7582571e-02
  3.3593750e-04  1.3255617e+03  2.4595489e-01  3.0801229e-02  9.8448461e-02  6.9082137e-01  5.3939400e-08  3.1723609e-02  1.7821399e-02  1.0778404e-01  1.7751307e-02
  3.4375000e-04  1.3583783e+03  2.3989001e-01  2.8621672e-02  9.4916150e-02  6.9066869e-01  8.2594952e-08  3.2965439e-02  1.8797901e-02  1.1104542e-01  1.7904743e-02
  3.5156250e-04  1.3907644e+03  2.3418811e-01  2.6464709e-02  9.1370793e-02  6.9053473e-01  1.2450305e-07  3.4195353e-02  1.9802989e-02  1.1427767e-01  1.8040649e-02
  3.5937500e-04  1.4226040e+03  2.2883858e-01  2.4341679e-02  8.7824300e-02  6.9042011e-01  1.8444222e-07  3.5405162e-02  2.0835513e-02  1.1746971e-01  1.8156676e-02
  3.6718750e-04  1.4537793e+03  2.2383116e-01  2.2264428e-02  8.4289455e-02  6.9032548e-01  2.6811344e-07  3.6585908e-02  2.1894098e-02  1.2060991e-01  1.8250405e-02
  3.7500000e-04  1.4841718e+03  2.1915580e-01  2.0245042e-02  8.0779748e-02  6.9025144e-01  3.8188150e-07  3.7727962e-02  2.2977155e-02  1.2368626e-01  1.8319429e-02
  3.8281250e-04  1.5136648e+03  2.1480254e-01  1.8295525e-02  7.7309155e-02  6.9019851e-01  5.3224907e-07  3.8821164e-02  2.4082891e-02  1.2668664e-01  1.8361436e-02
